NOMBRE;TIPO_GESTION;ESTADO_LICENCIAMIENTO;PERIODO_LICENCIAMIENTO;DEPARTAMENTO_LOCAL;PROVINCIA_LOCAL;DISTRITO_LOCAL
UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;LIMA
UNIVERSIDAD ALAS PERUANAS S.A.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;JESÚS MARÍA
UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE;PÚBLICO;LICENCIA OTORGADA;6;LIMA;LIMA;LURIGANCHO
UNIVERSIDAD NACIONAL DE HUANCAVELICA;PÚBLICO;LICENCIA OTORGADA;6;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA
UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LORETO;MAYNAS;SAN JUAN BAUTISTA
UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS;PÚBLICO;LICENCIA OTORGADA;6;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS
UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;BREÑA
UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI;PRIVADO;LICENCIA DENEGADA;0;MOQUEGUA;MARISCAL NIETO;MOQUEGUA
UNIVERSIDAD NACIONAL DE PIURA;PÚBLICO;LICENCIA OTORGADA;6;PIURA;PIURA;CASTILLA
UNIVERSIDAD LATINOAMERICANA CIMA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;TACNA;TACNA;TACNA
UNIVERSIDAD AUTÓNOMA DE ICA S.A.C.;PRIVADO;LICENCIA OTORGADA;6;ICA;CHINCHA;CHINCHA ALTA
UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA;PÚBLICO;LICENCIA OTORGADA;6;HUÁNUCO;LEONCIO PRADO;RUPA-RUPA
UNIVERSIDAD NACIONAL DE FRONTERA;PÚBLICO;LICENCIA OTORGADA;6;PIURA;SULLANA;SULLANA
UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.;PRIVADO;LICENCIA DENEGADA;0;AREQUIPA;AREQUIPA;YANAHUARA
UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.;PRIVADO;LICENCIA DENEGADA;0;LIMA;CAÑETE;SAN VICENTE DE CAÑETE
UNIVERSIDAD JAIME BAUSATE Y MEZA;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;JESÚS MARÍA
UNIVERSIDAD NACIONAL DEL CALLAO;PÚBLICO;LICENCIA OTORGADA;6;CALLAO;PROV. CONST. DEL CALLAO;BELLAVISTA
UNIVERSIDAD CIENTÍFICA DEL PERÚ;PRIVADO;INFORME DE VERIFICACIÓN PRESENCIAL (IVP);0;LORETO;MAYNAS;SAN JUAN BAUTISTA
UNIVERSIDAD NACIONAL DE SAN MARTÍN;PÚBLICO;LICENCIA OTORGADA;6;SAN MARTÍN;SAN MARTÍN;TARAPOTO
UNIVERSIDAD NACIONAL DE JAÉN;PÚBLICO;LICENCIA OTORGADA;6;CAJAMARCA;JAÉN;JAÉN
UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C.;PRIVADO;LICENCIA DENEGADA;0;AYACUCHO;HUAMANGA;AYACUCHO
UNIVERSIDAD NACIONAL DE CAÑETE;PÚBLICO;LICENCIA OTORGADA;6;LIMA;CAÑETE;SAN VICENTE DE CAÑETE
UNIVERSIDAD PRIVADA DE LA SELVA PERUANA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LORETO;MAYNAS;IQUITOS
UNIVERSIDAD NACIONAL TECNOLÓGICA DE LIMA SUR;PÚBLICO;LICENCIA OTORGADA;6;LIMA;LIMA;VILLA EL SALVADOR
UNIVERSIDAD NACIONAL DEL ALTIPLANO;PÚBLICO;LICENCIA OTORGADA;6;PUNO;PUNO;PUNO
UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;PÚBLICO;LICENCIA OTORGADA;10;LIMA;LIMA;LIMA
UNIVERSIDAD AUTÓNOMA MUNICIPAL DE LOS OLIVOS;PÚBLICO;NINGUNO;0;LIMA;LIMA;LOS OLIVOS
UNIVERSIDAD MARCELINO CHAMPAGNAT;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;SANTIAGO DE SURCO
UNIVERSIDAD NACIONAL DE TRUJILLO;PÚBLICO;LICENCIA OTORGADA;8;LA LIBERTAD;TRUJILLO;TRUJILLO
UNIVERSIDAD SANTO DOMINGO DE GUZMÁN S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;HUAROCHIRÍ;SAN ANTONIO
UNIVERSIDAD TECNOLÓGICA DE LOS ANDES;PRIVADO;LICENCIA OTORGADA;6;APURÍMAC;ABANCAY;ABANCAY
UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;SANTIAGO DE SURCO
UNIVERSIDAD NACIONAL DE JULIACA;PÚBLICO;LICENCIA OTORGADA;6;PUNO;SAN ROMÁN;JULIACA
UNIVERSIDAD PERUANA SANTO TOMÁS DE AQUINO DE CIENCIA E INTEGRACIÓN S.A.C.;PRIVADO;LICENCIA DENEGADA;0;JUNÍN;HUANCAYO;HUANCAYO
UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRIÓN;PÚBLICO;LICENCIA OTORGADA;6;PASCO;PASCO;YANACANCHA
UNIVERSIDAD PERUANA SIMÓN BOLÍVAR S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;PUEBLO LIBRE
UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;LOS OLIVOS
UNIVERSIDAD AUTÓNOMA DEL PERÚ S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;VILLA EL SALVADOR
UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELÁSQUEZ;PRIVADO;LICENCIA DENEGADA;0;PUNO;SAN ROMÁN;JULIACA
UNIVERSIDAD PRIVADA JUAN MEJÍA BACA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LAMBAYEQUE;CHICLAYO;CHICLAYO
UNIVERSIDAD PERUANA DEL CENTRO;PRIVADO;EN VERIFICACIÓN PRESENCIAL;0;JUNÍN;HUANCAYO;HUANCAYO
UNIVERSIDAD PRIVADA NORBERT WIENER S.A.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;LIMA
UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;SANTIAGO DE SURCO
UNIVERSIDAD PRIVADA DE PUCALLPA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;UCAYALI;CORONEL PORTILLO;CALLERIA
UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO;PRIVADO;LICENCIA OTORGADA;6;LAMBAYEQUE;CHICLAYO;CHICLAYO
UNIVERSIDAD LA SALLE;PRIVADO;LICENCIA OTORGADA;6;AREQUIPA;AREQUIPA;AREQUIPA
UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;LIMA
UNIVERSIDAD SEMINARIO EVANGÉLICO DE LIMA;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;LA MOLINA
UNIVERSIDAD DE LAMBAYEQUE S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LAMBAYEQUE;CHICLAYO;CHICLAYO
UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA;PÚBLICO;LICENCIA OTORGADA;6;UCAYALI;CORONEL PORTILLO;YARINACOCHA
UNIVERSIDAD DE PIURA;PRIVADO;LICENCIA OTORGADA;8;PIURA;PIURA;PIURA
UNIVERSIDAD DEL PACÍFICO;PRIVADO;LICENCIA OTORGADA;8;LIMA;LIMA;JESÚS MARÍA
UNIVERSIDAD PRIVADA ANTENOR ORREGO;PRIVADO;LICENCIA OTORGADA;6;LA LIBERTAD;TRUJILLO;TRUJILLO
UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA;PÚBLICO;LICENCIA OTORGADA;6;JUNÍN;CHANCHAMAYO;CHANCHAMAYO
UNIVERSIDAD CATÓLICA SAN PABLO;PRIVADO;LICENCIA OTORGADA;6;AREQUIPA;AREQUIPA;AREQUIPA
UNIVERSIDAD NACIONAL DE MOQUEGUA;PÚBLICO;LICENCIA OTORGADA;6;MOQUEGUA;MARISCAL NIETO;MOQUEGUA
UNIVERSIDAD NACIONAL DEL SANTA;PÚBLICO;LICENCIA OTORGADA;6;ÁNCASH;SANTA;NUEVO CHIMBOTE
UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA;PÚBLICO;LICENCIA OTORGADA;6;CAJAMARCA;CHOTA;CHOTA
