NOMBRE;TIPO_GESTION;ESTADO_LICENCIAMIENTO;PERIODO_LICENCIAMIENTO;DEPARTAMENTO_LOCAL;PROVINCIA_LOCAL;DISTRITO_LOCAL
UNIVERSIDAD PARTICULAR DE CHICLAYO;PRIVADO;LICENCIA DENEGADA;0;LAMBAYEQUE;CHICLAYO;PIMENTEL
UNIVERSIDAD DE HUµNUCO;PRIVADO;LICENCIA OTORGADA;6;HUµNUCO;HUµNUCO;HUANUCO
UNIVERSIDAD RICARDO PALMA;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;SANTIAGO DE SURCO
UNIVERSIDAD CIENT÷FICA DEL SUR S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;VILLA EL SALVADOR
UNIVERSIDAD PRIVADA DE TRUJILLO;PRIVADO;LICENCIA DENEGADA;0;LA LIBERTAD;TRUJILLO;LAREDO
UNIVERSIDAD ANDINA DEL CUSCO;PRIVADO;LICENCIA OTORGADA;6;CUSCO;CUSCO;SAN JER‡NIMO
UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT S.A.C.;PRIVADO;LICENCIA OTORGADA;6;JUN÷N;HUANCAYO;HUANCAYO
UNIVERSIDAD AUT‡NOMA SAN FRANCISCO S.A.C.;PRIVADO;LICENCIA DENEGADA;0;AREQUIPA;AREQUIPA;TIABAYA
UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO S.A.C.;PRIVADO;LICENCIA DENEGADA;0;CAJAMARCA;CAJAMARCA;CAJAMARCA
UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA;PÈBLICO;LICENCIA DENEGADA;0;ICA;ICA;ICA
UNIVERSIDAD POLITêCNICA AMAZ‡NICA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;AMAZONAS;UTCUBAMBA;BAGUA GRANDE
UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;LIMA
UNIVERSIDAD ALAS PERUANAS S.A.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;JESÈS MAR÷A
UNIVERSIDAD NACIONAL DE EDUCACI‡N ENRIQUE GUZMµN Y VALLE;PÈBLICO;LICENCIA OTORGADA;6;LIMA;LIMA;LURIGANCHO
UNIVERSIDAD NACIONAL DE HUANCAVELICA;PÈBLICO;LICENCIA OTORGADA;6;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA
UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LORETO;MAYNAS;SAN JUAN BAUTISTA
UNIVERSIDAD NACIONAL TORIBIO RODR÷GUEZ DE MENDOZA DE AMAZONAS;PÈBLICO;LICENCIA OTORGADA;6;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS
UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;BRE•A
UNIVERSIDAD JOSê CARLOS MARIµTEGUI;PRIVADO;LICENCIA DENEGADA;0;MOQUEGUA;MARISCAL NIETO;MOQUEGUA
UNIVERSIDAD NACIONAL DE PIURA;PÈBLICO;LICENCIA OTORGADA;6;PIURA;PIURA;CASTILLA
UNIVERSIDAD LATINOAMERICANA CIMA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;TACNA;TACNA;TACNA
UNIVERSIDAD AUT‡NOMA DE ICA S.A.C.;PRIVADO;LICENCIA OTORGADA;6;ICA;CHINCHA;CHINCHA ALTA
UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA;PÈBLICO;LICENCIA OTORGADA;6;HUµNUCO;LEONCIO PRADO;RUPA-RUPA
UNIVERSIDAD NACIONAL DE FRONTERA;PÈBLICO;LICENCIA OTORGADA;6;PIURA;SULLANA;SULLANA
UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.;PRIVADO;LICENCIA DENEGADA;0;AREQUIPA;AREQUIPA;YANAHUARA
UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.;PRIVADO;LICENCIA DENEGADA;0;LIMA;CA•ETE;SAN VICENTE DE CA•ETE
UNIVERSIDAD JAIME BAUSATE Y MEZA;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;JESÈS MAR÷A
UNIVERSIDAD NACIONAL DEL CALLAO;PÈBLICO;LICENCIA OTORGADA;6;CALLAO;PROV. CONST. DEL CALLAO;BELLAVISTA
UNIVERSIDAD CIENT÷FICA DEL PERÈ;PRIVADO;INFORME DE VERIFICACI‡N PRESENCIAL (IVP);0;LORETO;MAYNAS;SAN JUAN BAUTISTA
UNIVERSIDAD NACIONAL DE SAN MART÷N;PÈBLICO;LICENCIA OTORGADA;6;SAN MART÷N;SAN MART÷N;TARAPOTO
UNIVERSIDAD NACIONAL DE JAêN;PÈBLICO;LICENCIA OTORGADA;6;CAJAMARCA;JAêN;JAêN
UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C.;PRIVADO;LICENCIA DENEGADA;0;AYACUCHO;HUAMANGA;AYACUCHO
UNIVERSIDAD NACIONAL DE CA•ETE;PÈBLICO;LICENCIA OTORGADA;6;LIMA;CA•ETE;SAN VICENTE DE CA•ETE
