NOMBRE;TIPO_GESTION;ESTADO_LICENCIAMIENTO;PERIODO_LICENCIAMIENTO;DEPARTAMENTO_LOCAL;PROVINCIA_LOCAL;DISTRITO_LOCAL;LATITUD_UBICACION;LONGITUD_UBICACION
UNIVERSIDAD ANDINA DEL CUSCO;PRIVADO;LICENCIA OTORGADA;6;CUSCO;CUSCO;SAN JER�NIMO;-13,53722798;-71,90391768
UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT S.A.C.;PRIVADO;LICENCIA OTORGADA;6;JUN�N;HUANCAYO;HUANCAYO;-12,06559636;-75,20483786
UNIVERSIDAD AUT�NOMA SAN FRANCISCO S.A.C.;PRIVADO;LICENCIA DENEGADA;0;AREQUIPA;AREQUIPA;TIABAYA;-16,4495719;-71,600257
UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO S.A.C.;PRIVADO;LICENCIA DENEGADA;0;CAJAMARCA;CAJAMARCA;CAJAMARCA;-7,156522;-78,5145522
UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA;P�BLICO;LICENCIA DENEGADA;0;ICA;ICA;ICA;-14,0871322;-75,7335148
UNIVERSIDAD POLIT�CNICA AMAZ�NICA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;-5,7566749;-78,443932
UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;LIMA;-12,0739859;-77,0358612
UNIVERSIDAD ALAS PERUANAS S.A.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;JES�S MAR�A;-12,08137781;-77,04667389
UNIVERSIDAD NACIONAL DE EDUCACI�N ENRIQUE GUZM�N Y VALLE;P�BLICO;LICENCIA OTORGADA;6;LIMA;LIMA;LURIGANCHO;-11,94648842;-76,70131631
UNIVERSIDAD NACIONAL DE HUANCAVELICA;P�BLICO;LICENCIA OTORGADA;6;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;-12,7781367;-74,9614392
UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LORETO;MAYNAS;SAN JUAN BAUTISTA;-3,771757644;-73,28343169
